t15,instance,ip,server,status,anomaly_score,threshold,is_anomaly,is_sustained,dominant_metric,resource,severity
2026-02-26 09:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5740473330939461,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 09:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5911451294980401,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 09:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5860910034469413,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 10:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5689265453861313,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 10:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5740473330939461,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 10:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5364109968580689,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-26 10:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5879210039986934,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 11:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5535641096479331,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 11:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5490659763823733,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 11:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5611362541366213,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 11:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5967152225144834,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 12:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5342769455972479,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-26 12:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5117627033115829,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-26 12:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.502979654013982,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-26 12:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6037912297313415,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 13:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5351269657721157,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 13:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5865266041601477,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 13:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5366044086638434,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-26 13:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6033805627927256,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
