timestamp_utc;instance;metric;value
2026-02-19T03:55:31+00:00;192.168.2.2:9182;cpu_pct;88.8
2026-02-19T03:56:01+00:00;192.168.2.2:9182;cpu_pct;85.73
2026-02-19T03:56:31+00:00;192.168.2.2:9182;cpu_pct;85.91
2026-02-19T03:57:01+00:00;192.168.2.2:9182;cpu_pct;85.91
2026-02-19T03:57:31+00:00;192.168.2.2:9182;cpu_pct;86.08
2026-02-19T03:58:01+00:00;192.168.2.2:9182;cpu_pct;86.08
2026-02-19T03:58:31+00:00;192.168.2.2:9182;cpu_pct;86.13
2026-02-19T03:59:01+00:00;192.168.2.2:9182;cpu_pct;86.13
2026-02-19T03:59:31+00:00;192.168.2.2:9182;cpu_pct;86.14
2026-02-19T04:00:01+00:00;192.168.2.2:9182;cpu_pct;86.14
2026-02-19T03:55:01+00:00;192.168.2.2:9182;cpu_pct;90.65
2026-02-19T03:55:31+00:00;192.168.2.2:9182;cpu_pct;89.23
2026-02-19T03:56:01+00:00;192.168.2.2:9182;cpu_pct;87.81
2026-02-19T03:56:31+00:00;192.168.2.2:9182;cpu_pct;85.8
2026-02-19T03:57:01+00:00;192.168.2.2:9182;cpu_pct;85.8
2026-02-19T03:57:31+00:00;192.168.2.2:9182;cpu_pct;85.76
2026-02-19T03:58:01+00:00;192.168.2.2:9182;cpu_pct;85.76
2026-02-19T03:58:31+00:00;192.168.2.2:9182;cpu_pct;85.72
2026-02-19T03:59:01+00:00;192.168.2.2:9182;cpu_pct;85.72
2026-02-19T03:59:31+00:00;192.168.2.2:9182;cpu_pct;85.64
2026-02-19T04:00:01+00:00;192.168.2.2:9182;cpu_pct;85.64
2026-02-19T03:55:01+00:00;192.168.2.2:9182;mem_pct;94.3
2026-02-19T03:55:31+00:00;192.168.2.2:9182;mem_pct;94.31
2026-02-19T03:56:01+00:00;192.168.2.2:9182;mem_pct;94.31
2026-02-19T03:56:31+00:00;192.168.2.2:9182;mem_pct;93.41
2026-02-19T03:57:01+00:00;192.168.2.2:9182;mem_pct;93.41
2026-02-19T03:57:31+00:00;192.168.2.2:9182;mem_pct;93.59
2026-02-19T03:58:01+00:00;192.168.2.2:9182;mem_pct;93.59
2026-02-19T03:58:31+00:00;192.168.2.2:9182;mem_pct;93.57
2026-02-19T03:59:01+00:00;192.168.2.2:9182;mem_pct;93.57
2026-02-19T03:59:31+00:00;192.168.2.2:9182;mem_pct;93.58
2026-02-19T04:00:01+00:00;192.168.2.2:9182;mem_pct;93.58
2026-02-19T03:55:01+00:00;192.168.2.2:9182;mem_pct;90.78
2026-02-19T03:55:31+00:00;192.168.2.2:9182;mem_pct;90.79
2026-02-19T03:56:01+00:00;192.168.2.2:9182;mem_pct;90.79
2026-02-19T03:56:31+00:00;192.168.2.2:9182;mem_pct;90.82
2026-02-19T03:57:01+00:00;192.168.2.2:9182;mem_pct;90.82
2026-02-19T03:57:31+00:00;192.168.2.2:9182;mem_pct;90.84
2026-02-19T03:58:01+00:00;192.168.2.2:9182;mem_pct;90.84
2026-02-19T03:58:31+00:00;192.168.2.2:9182;mem_pct;90.81
2026-02-19T03:59:01+00:00;192.168.2.2:9182;mem_pct;90.81
2026-02-19T03:59:31+00:00;192.168.2.2:9182;mem_pct;90.73
2026-02-19T04:00:01+00:00;192.168.2.2:9182;mem_pct;90.73
2026-02-19T03:55:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:55:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:56:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:56:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:57:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:57:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:58:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:58:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:59:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:59:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:00:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:55:01+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:55:31+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:56:01+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:56:31+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:57:01+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:57:31+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:58:01+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:58:31+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:59:01+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:59:31+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T04:00:01+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T04:25:01+00:00;192.168.2.2:9182;cpu_pct;86.13
2026-02-19T04:25:31+00:00;192.168.2.2:9182;cpu_pct;86.49
2026-02-19T04:26:01+00:00;192.168.2.2:9182;cpu_pct;86.49
2026-02-19T04:26:31+00:00;192.168.2.2:9182;cpu_pct;86.52
2026-02-19T04:27:01+00:00;192.168.2.2:9182;cpu_pct;86.52
2026-02-19T04:27:31+00:00;192.168.2.2:9182;cpu_pct;86.33
2026-02-19T04:28:01+00:00;192.168.2.2:9182;cpu_pct;86.33
2026-02-19T04:28:31+00:00;192.168.2.2:9182;cpu_pct;86.31
2026-02-19T04:29:01+00:00;192.168.2.2:9182;cpu_pct;86.31
2026-02-19T04:29:31+00:00;192.168.2.2:9182;cpu_pct;85.82
2026-02-19T04:30:01+00:00;192.168.2.2:9182;cpu_pct;85.82
2026-02-19T04:25:01+00:00;192.168.2.2:9182;cpu_pct;86.39
2026-02-19T04:25:31+00:00;192.168.2.2:9182;cpu_pct;85.76
2026-02-19T04:26:01+00:00;192.168.2.2:9182;cpu_pct;85.76
2026-02-19T04:26:31+00:00;192.168.2.2:9182;cpu_pct;85.63
2026-02-19T04:27:01+00:00;192.168.2.2:9182;cpu_pct;85.63
2026-02-19T04:27:31+00:00;192.168.2.2:9182;cpu_pct;85.57
2026-02-19T04:28:01+00:00;192.168.2.2:9182;cpu_pct;85.57
2026-02-19T04:28:31+00:00;192.168.2.2:9182;cpu_pct;85.63
2026-02-19T04:29:01+00:00;192.168.2.2:9182;cpu_pct;85.63
2026-02-19T04:29:31+00:00;192.168.2.2:9182;cpu_pct;85.61
2026-02-19T04:30:01+00:00;192.168.2.2:9182;cpu_pct;85.61
2026-02-19T04:25:01+00:00;192.168.2.2:9182;mem_pct;92.99
2026-02-19T04:25:31+00:00;192.168.2.2:9182;mem_pct;92.54
2026-02-19T04:26:01+00:00;192.168.2.2:9182;mem_pct;92.54
2026-02-19T04:26:31+00:00;192.168.2.2:9182;mem_pct;91.91
2026-02-19T04:27:01+00:00;192.168.2.2:9182;mem_pct;91.91
2026-02-19T04:27:31+00:00;192.168.2.2:9182;mem_pct;91.78
2026-02-19T04:28:01+00:00;192.168.2.2:9182;mem_pct;91.78
2026-02-19T04:28:31+00:00;192.168.2.2:9182;mem_pct;91.63
2026-02-19T04:29:01+00:00;192.168.2.2:9182;mem_pct;91.63
2026-02-19T04:29:31+00:00;192.168.2.2:9182;mem_pct;91.58
2026-02-19T04:30:01+00:00;192.168.2.2:9182;mem_pct;91.58
2026-02-19T04:25:01+00:00;192.168.2.2:9182;mem_pct;92.51
2026-02-19T04:25:31+00:00;192.168.2.2:9182;mem_pct;92.46
2026-02-19T04:26:01+00:00;192.168.2.2:9182;mem_pct;92.46
2026-02-19T04:26:31+00:00;192.168.2.2:9182;mem_pct;92.49
2026-02-19T04:27:01+00:00;192.168.2.2:9182;mem_pct;92.49
2026-02-19T04:27:31+00:00;192.168.2.2:9182;mem_pct;92.39
2026-02-19T04:28:01+00:00;192.168.2.2:9182;mem_pct;92.39
2026-02-19T04:28:31+00:00;192.168.2.2:9182;mem_pct;92.37
2026-02-19T04:29:01+00:00;192.168.2.2:9182;mem_pct;92.37
2026-02-19T04:29:31+00:00;192.168.2.2:9182;mem_pct;92.29
2026-02-19T04:30:01+00:00;192.168.2.2:9182;mem_pct;92.29
2026-02-19T04:25:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:25:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:26:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:26:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:27:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:27:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:28:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:28:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:29:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:29:31+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:30:01+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T04:25:01+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:25:31+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:26:01+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:26:31+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:27:01+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:27:31+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:28:01+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:28:31+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:29:01+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:29:31+00:00;192.168.2.2:9182;disk_pct_C:;81.38
2026-02-19T04:30:01+00:00;192.168.2.2:9182;disk_pct_C:;81.38
